Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
MEXICO|CENTRAL DE GUATEMALA|08/08/2012| 87032379|2012|VOLKSWAGEN|JETTA STYLE|2500|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|134459.6|16135.15|
CANADA|CENTRAL DE GUATEMALA|09/08/2012| 87032490|2013|FORD|EDGE SEL|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|359985.88|43198.31|
CANADA|CENTRAL DE GUATEMALA|09/08/2012| 87032490|2013|FORD|EDGE SEL|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|359985.88|43198.31|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
BELGICA|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2012|VOLVO|S40 2.0|1999|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|138956.72|16674.81|
CANADA|CENTRAL DE GUATEMALA|09/08/2012| 87032490|2013|FORD|EDGE SEL|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|179992.94|21599.15|
CANADA|CENTRAL DE GUATEMALA|09/08/2012| 87032490|2013|FORD|EDGE SEL|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|183184.47|21982.14|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|2102970.91|252356.51|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032373|2013|KIA|SPORTAGE EX 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|401204.18|48144.5|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032373|2013|KIA|SPORTAGE EX 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|401204.18|48144.5|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032373|2013|KIA|SPORTAGE EX 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|401204.18|48144.5|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
